緯度情報,経度情報,愛工大からの距離,データ名
34.8843091932,137.0421580839,0.3073875795,八王子貝塚
34.9957571826,136.8687486649,0.3080480325,【知多】栖光院
35.1156522695,136.8125295639,0.3080569303,農業文化園・戸田川緑地
34.8767807443,137.0831361339,0.3080863588,道の駅にしお岡ノ山
34.9025034984,136.9864336078,0.3081223106,伝統食品工場見学 ［七福醸造㈱ありがとうの里］
35.1153802097,136.8125081062,0.3081378148,農業文化園と戸田川緑地公園
35.1888208974,136.8049335480,0.3081558219,【海部】ハナショウブの風景
34.8768571841,137.0765616874,0.3087179679,西尾のヒメタイコウチ（生息地）
34.8825953767,137.0416116714,0.3091812393,稲荷山茶園公園
34.8825689732,137.0414507389,0.3092441454,【西三河】稲荷山茶園公園
35.2136749988,137.4216377735,0.3100762005,【豊田加茂】黒谷渓谷
35.2137188265,137.4216699600,0.3101125135,黒谷渓谷
34.8752515422,137.0752398401,0.3104705892,八ツ面山（やつおもてやま）
34.8751378522,137.0753228310,0.3105733435,【西三河】八ツ面山（やつおもてやま）
34.9670164909,136.8900078535,0.3107592136,佐布里緑と花のふれあい公園（知多市）
34.9669021936,136.8900346756,0.3108195698,佐布里緑と花のふれあい公園
35.2918334444,136.8204695450,0.3120156232,馬見塚遺跡
34.8775345658,137.1769773960,0.3124881994,幸田憩の農園
34.8775392025,137.1770479151,0.3124980970,幸田憩いの農園
34.8805402849,137.0351046324,0.3127388921,【西三河】紅樹院（茶祖の寺）
34.9724849878,136.8820416927,0.3128120596,【知多】浄蓮寺
34.8786473489,137.0419023978,0.3129575742,神明社の大シイ
35.0669347018,137.4035167694,0.3129579163,【豊田加茂】保殿の七滝
34.9719091424,136.8822079897,0.3130780055,【知多】誕生堂
34.9718695803,136.8820953369,0.3131877950,【知多】正法院
34.9714205000,136.8824206330,0.3132517353,【知多】密厳寺
35.0667459025,137.4039459229,0.3134265073,保殿の七滝（ほでんのななたき）
34.9621015657,136.8909895420,0.3135054171,佐布里池（知多市）
34.9622070770,136.8908607960,0.3135221674,佐布里池
34.8788604490,137.0385563283,0.3135280999,西尾の抹茶工場見学
35.1780106422,136.7994336363,0.3136547782,七宝町のラカンマキ
35.1838184738,136.7990863323,0.3139558305,七宝焼アートヴィレッジ
35.1836650204,136.7990648746,0.3139771271,七宝焼アートヴレッジ
34.9709596479,136.8818432093,0.3139887283,【知多】如意寺
34.9920525337,136.8640065193,0.3140655070,【知多】牟山神社
34.8743703005,137.0538586378,0.3146578367,西尾市岩瀬文庫
35.1786290938,136.7982670539,0.3148111845,らかんまき
35.1784737389,136.7981529236,0.3149276994,【海部】らかんまき
34.8763199248,137.0364189148,0.3165071048,【西三河】実相寺（西尾茶の始め）
35.2522848516,136.8040660841,0.3165588365,国府宮の農産物直売所
35.2522867681,136.8039357662,0.3166864507,産直広場国府宮店
34.9187337056,137.2872269154,0.3168518976,【西三河】はいらっせぬかた
