緯度情報,経度情報,愛工大からの距離,データ名
34.9214432192,136.9895982742,0.2895964013,【西三河】鬼のみち
35.1934679212,136.8234246969,0.2897917215,甚目寺歴史民俗資料館
35.1948795116,136.8229901791,0.2902783148,【海部】甚目寺観音
35.0276831284,137.3583413721,0.2905570078,羽佐の窪渓谷
35.3438144854,136.8698430375,0.2913324216,まんだら青空市 （JA愛知北江南支店）
35.3415771718,136.8678689003,0.2917635311,愛知北地域の新鮮野菜市
35.2991990610,136.8444156647,0.2925177798,産直広場南小渕店
35.1724182865,136.8198573589,0.2933905950,元気朝市おおはる
34.9346552150,136.9555020332,0.2944466797,【知多】福住寺
35.2593302026,136.8276195348,0.2953463555,産直広場下津店
35.2179217906,137.4069553614,0.2959324832,旭高原元気村
35.2181277697,137.4069768190,0.2959778833,旭高原元気村
34.9046832670,137.0133626461,0.2960165059,油ヶ淵
34.9046744682,137.0130729675,0.2961224587,【西三河】油ヶ淵
35.3096313708,136.8446969701,0.2965472652,うみたて卵直売店　うきうき村
35.1972698206,136.8161380971,0.2972270207,水辺乃並木道
35.1970100023,136.8160915375,0.2972615314,【海部】水辺乃並木道
35.1005691312,137.3990428448,0.2977574759,田之土里湿原
35.1004067430,137.3990964890,0.2978542156,田之士里湿原
34.9396867334,136.9414352508,0.2980787565,板山長根古窯
35.3706276081,136.8797135353,0.2991516919,すいとぴあ江南
35.3705751167,136.8795311451,0.2992611402,すいとぴあ江南
34.9482347590,137.2985416328,0.2995305988,寺野の大クス
35.3709506804,136.8787680361,0.3000915276,スイトピアYuYuクラブ朝市
34.9182586518,136.9715309143,0.3005524301,【知多】海潮院
35.1967861887,137.4136025695,0.3008580722,東海自然歩道
35.3669020494,136.8744795673,0.3009659639,木曽川堤（サクラ）
34.9058183009,136.9960516691,0.3012392520,伝統食品工場見学 ［ヤマシン㈱白しょうゆ醸造工場］
34.9180280139,136.9657448708,0.3035213025,【知多】東光寺
34.9166677981,137.2582363899,0.3037005364,北山湿地
35.3496895952,136.8579983711,0.3044591496,曼陀羅寺公園のフジ
35.3496545919,136.8579500914,0.3044804816,曼陀羅寺公園のフジ
35.3494795751,136.8573224545,0.3049111475,まんだら青空市 （曼陀羅寺公園大型バス駐車場）
34.9279945187,136.9463490388,0.3049995113,大高山古窯
35.0142914050,137.3669663897,0.3050893144,切山の大スギ
35.0423036827,137.3839795589,0.3054813066,手作り工房山遊里
34.9396685313,136.9288301468,0.3055240515,【知多】ふれあいの森
35.1099920458,136.8161831308,0.3058032830,ＪＡなごや南陽店
34.9990708398,136.8680367837,0.3066092694,知多市歴史民俗博物館（知多市）
34.9991101188,136.8679225445,0.3066769564,【知多】知多市歴史民俗博物館
35.2256127828,136.8086779118,0.3072756523,愛知西のその他各直売所（産直広場大里店）
